=git add api.pyranking_position,ranking_points,total_titles,titles_premier_padel,titles_world_padel_tour,total_finals,win_rate_finals,contract_value_eur,yearly_rackets,instagram_followers_millions,tiktok_followers_millions,twitter_followers_thousands,youtube_subscribers_thousands,engagement_rate_percent,sponsorship_value_annual_eur,total_social_followers,performance_score,is_top_player
1.0,19800.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
1.0,19800.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
1.0,18060.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
1.0,18060.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
3.0,17320.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
3.0,17320.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
3.0,14720.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
3.0,14720.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
5.0,7905.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
5.0,13040.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
5.0,13040.0,0,0,0,0,50,500000,24,1.5,0.9,120,75,4.5,150000,2.5,95,1
6.0,7845.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
6.0,665.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
7.0,6322.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
7.0,6322.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
7.0,7030.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
8.0,6625.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
9.0,6115.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
9.0,6435.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
9.0,2000.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
10.0,5155.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
10.0,6050.0,0,0,0,0,50,300000,24,1.5,0.9,120,75,4.5,90000,2.5,88,1
11.0,5125.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
11.0,5405.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
12.0,5110.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
12.0,5385.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
13.0,4550.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
13.0,5110.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
14.0,4410.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
14.0,4745.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
14.0,300.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
15.0,4350.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
15.0,4190.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
16.0,3665.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
16.0,4035.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
17.0,3330.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
17.0,3715.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
17.0,3715.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
18.0,2955.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
19.0,2870.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
19.0,3640.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
20.0,2760.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
20.0,3420.0,0,0,0,0,50,150000,24,0.5,0.3,40,25,3.2,45000,0.85,78,0
21.0,2570.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
21.0,2980.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
22.0,2528.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
22.0,2965.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
22.0,1127.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
23.0,2500.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
23.0,2480.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
24.0,2475.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
24.0,2380.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
25.0,2400.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
25.0,2370.0,0,0,0,0,50,80000,12,0.5,0.3,40,25,3.2,12000,0.85,65,0
